Row,Reason
6554,duplicate Tracenet_No + Longitude/Lattitude in upload file
6555,duplicate Tracenet_No + Longitude/Lattitude in upload file
6556,duplicate Tracenet_No + Longitude/Lattitude in upload file
6557,duplicate Tracenet_No + Longitude/Lattitude in upload file
6593,duplicate Tracenet_No + Longitude/Lattitude in upload file
6594,duplicate Tracenet_No + Longitude/Lattitude in upload file
6595,duplicate Tracenet_No + Longitude/Lattitude in upload file
6596,duplicate Tracenet_No + Longitude/Lattitude in upload file
6597,duplicate Tracenet_No + Longitude/Lattitude in upload file
6598,duplicate Tracenet_No + Longitude/Lattitude in upload file
6599,duplicate Tracenet_No + Longitude/Lattitude in upload file
6600,duplicate Tracenet_No + Longitude/Lattitude in upload file
6601,duplicate Tracenet_No + Longitude/Lattitude in upload file
6602,duplicate Tracenet_No + Longitude/Lattitude in upload file
6603,duplicate Tracenet_No + Longitude/Lattitude in upload file
6604,duplicate Tracenet_No + Longitude/Lattitude in upload file
6605,duplicate Tracenet_No + Longitude/Lattitude in upload file
6606,duplicate Tracenet_No + Longitude/Lattitude in upload file
6607,duplicate Tracenet_No + Longitude/Lattitude in upload file
6608,duplicate Tracenet_No + Longitude/Lattitude in upload file
6609,duplicate Tracenet_No + Longitude/Lattitude in upload file
6610,duplicate Tracenet_No + Longitude/Lattitude in upload file
6611,duplicate Tracenet_No + Longitude/Lattitude in upload file
6612,duplicate Tracenet_No + Longitude/Lattitude in upload file
6613,duplicate Tracenet_No + Longitude/Lattitude in upload file
6614,duplicate Tracenet_No + Longitude/Lattitude in upload file
6615,duplicate Tracenet_No + Longitude/Lattitude in upload file
6616,duplicate Tracenet_No + Longitude/Lattitude in upload file
6617,duplicate Tracenet_No + Longitude/Lattitude in upload file
6618,duplicate Tracenet_No + Longitude/Lattitude in upload file
6619,duplicate Tracenet_No + Longitude/Lattitude in upload file
6620,duplicate Tracenet_No + Longitude/Lattitude in upload file
6621,duplicate Tracenet_No + Longitude/Lattitude in upload file
6622,duplicate Tracenet_No + Longitude/Lattitude in upload file
6623,duplicate Tracenet_No + Longitude/Lattitude in upload file
6624,duplicate Tracenet_No + Longitude/Lattitude in upload file
6625,duplicate Tracenet_No + Longitude/Lattitude in upload file
6626,duplicate Tracenet_No + Longitude/Lattitude in upload file
6627,duplicate Tracenet_No + Longitude/Lattitude in upload file
6645,duplicate Tracenet_No + Longitude/Lattitude in upload file
6646,duplicate Tracenet_No + Longitude/Lattitude in upload file
6647,duplicate Tracenet_No + Longitude/Lattitude in upload file
6648,duplicate Tracenet_No + Longitude/Lattitude in upload file
6649,duplicate Tracenet_No + Longitude/Lattitude in upload file
6650,duplicate Tracenet_No + Longitude/Lattitude in upload file
6651,duplicate Tracenet_No + Longitude/Lattitude in upload file
6652,duplicate Tracenet_No + Longitude/Lattitude in upload file
6653,duplicate Tracenet_No + Longitude/Lattitude in upload file
6654,duplicate Tracenet_No + Longitude/Lattitude in upload file
6655,duplicate Tracenet_No + Longitude/Lattitude in upload file
6656,duplicate Tracenet_No + Longitude/Lattitude in upload file
6657,duplicate Tracenet_No + Longitude/Lattitude in upload file
6658,duplicate Tracenet_No + Longitude/Lattitude in upload file
6659,duplicate Tracenet_No + Longitude/Lattitude in upload file
6660,duplicate Tracenet_No + Longitude/Lattitude in upload file
6661,duplicate Tracenet_No + Longitude/Lattitude in upload file
6734,duplicate Tracenet_No + Longitude/Lattitude in upload file
6735,duplicate Tracenet_No + Longitude/Lattitude in upload file
6736,duplicate Tracenet_No + Longitude/Lattitude in upload file
6737,duplicate Tracenet_No + Longitude/Lattitude in upload file
6738,duplicate Tracenet_No + Longitude/Lattitude in upload file
6739,duplicate Tracenet_No + Longitude/Lattitude in upload file
6740,duplicate Tracenet_No + Longitude/Lattitude in upload file
6741,duplicate Tracenet_No + Longitude/Lattitude in upload file
6742,duplicate Tracenet_No + Longitude/Lattitude in upload file
6743,duplicate Tracenet_No + Longitude/Lattitude in upload file
6744,duplicate Tracenet_No + Longitude/Lattitude in upload file
6745,duplicate Tracenet_No + Longitude/Lattitude in upload file
6746,duplicate Tracenet_No + Longitude/Lattitude in upload file
6747,duplicate Tracenet_No + Longitude/Lattitude in upload file
6748,duplicate Tracenet_No + Longitude/Lattitude in upload file
6749,duplicate Tracenet_No + Longitude/Lattitude in upload file
6750,duplicate Tracenet_No + Longitude/Lattitude in upload file
6751,duplicate Tracenet_No + Longitude/Lattitude in upload file
6752,duplicate Tracenet_No + Longitude/Lattitude in upload file
6753,duplicate Tracenet_No + Longitude/Lattitude in upload file
6754,duplicate Tracenet_No + Longitude/Lattitude in upload file
6755,duplicate Tracenet_No + Longitude/Lattitude in upload file
6756,duplicate Tracenet_No + Longitude/Lattitude in upload file
6757,duplicate Tracenet_No + Longitude/Lattitude in upload file
6758,duplicate Tracenet_No + Longitude/Lattitude in upload file
6759,duplicate Tracenet_No + Longitude/Lattitude in upload file
6760,duplicate Tracenet_No + Longitude/Lattitude in upload file
6761,duplicate Tracenet_No + Longitude/Lattitude in upload file
6762,duplicate Tracenet_No + Longitude/Lattitude in upload file
6763,duplicate Tracenet_No + Longitude/Lattitude in upload file
6764,duplicate Tracenet_No + Longitude/Lattitude in upload file
6765,duplicate Tracenet_No + Longitude/Lattitude in upload file
6766,duplicate Tracenet_No + Longitude/Lattitude in upload file
6767,duplicate Tracenet_No + Longitude/Lattitude in upload file
6768,duplicate Tracenet_No + Longitude/Lattitude in upload file
6769,duplicate Tracenet_No + Longitude/Lattitude in upload file
6770,duplicate Tracenet_No + Longitude/Lattitude in upload file
6771,duplicate Tracenet_No + Longitude/Lattitude in upload file
6772,duplicate Tracenet_No + Longitude/Lattitude in upload file
6773,duplicate Tracenet_No + Longitude/Lattitude in upload file
6774,duplicate Tracenet_No + Longitude/Lattitude in upload file
6775,duplicate Tracenet_No + Longitude/Lattitude in upload file
6776,duplicate Tracenet_No + Longitude/Lattitude in upload file
6777,duplicate Tracenet_No + Longitude/Lattitude in upload file
6778,duplicate Tracenet_No + Longitude/Lattitude in upload file
6779,duplicate Tracenet_No + Longitude/Lattitude in upload file
6780,duplicate Tracenet_No + Longitude/Lattitude in upload file
6781,duplicate Tracenet_No + Longitude/Lattitude in upload file
6782,duplicate Tracenet_No + Longitude/Lattitude in upload file
6783,duplicate Tracenet_No + Longitude/Lattitude in upload file
6784,duplicate Tracenet_No + Longitude/Lattitude in upload file
6785,duplicate Tracenet_No + Longitude/Lattitude in upload file
6786,duplicate Tracenet_No + Longitude/Lattitude in upload file
6787,duplicate Tracenet_No + Longitude/Lattitude in upload file
6788,duplicate Tracenet_No + Longitude/Lattitude in upload file
6789,duplicate Tracenet_No + Longitude/Lattitude in upload file
6790,duplicate Tracenet_No + Longitude/Lattitude in upload file
6791,duplicate Tracenet_No + Longitude/Lattitude in upload file
6792,duplicate Tracenet_No + Longitude/Lattitude in upload file
6793,duplicate Tracenet_No + Longitude/Lattitude in upload file
6794,duplicate Tracenet_No + Longitude/Lattitude in upload file
6795,duplicate Tracenet_No + Longitude/Lattitude in upload file
6796,duplicate Tracenet_No + Longitude/Lattitude in upload file
6797,duplicate Tracenet_No + Longitude/Lattitude in upload file
6798,duplicate Tracenet_No + Longitude/Lattitude in upload file
6799,duplicate Tracenet_No + Longitude/Lattitude in upload file
6800,duplicate Tracenet_No + Longitude/Lattitude in upload file
6801,duplicate Tracenet_No + Longitude/Lattitude in upload file
6802,duplicate Tracenet_No + Longitude/Lattitude in upload file
6803,duplicate Tracenet_No + Longitude/Lattitude in upload file
6804,duplicate Tracenet_No + Longitude/Lattitude in upload file
6805,duplicate Tracenet_No + Longitude/Lattitude in upload file
6820,duplicate Tracenet_No + Longitude/Lattitude in upload file
6821,duplicate Tracenet_No + Longitude/Lattitude in upload file
6822,duplicate Tracenet_No + Longitude/Lattitude in upload file
6823,duplicate Tracenet_No + Longitude/Lattitude in upload file
6824,duplicate Tracenet_No + Longitude/Lattitude in upload file
6825,duplicate Tracenet_No + Longitude/Lattitude in upload file
6826,duplicate Tracenet_No + Longitude/Lattitude in upload file
6827,duplicate Tracenet_No + Longitude/Lattitude in upload file
6828,duplicate Tracenet_No + Longitude/Lattitude in upload file
6829,duplicate Tracenet_No + Longitude/Lattitude in upload file
6830,duplicate Tracenet_No + Longitude/Lattitude in upload file
6831,duplicate Tracenet_No + Longitude/Lattitude in upload file
6832,duplicate Tracenet_No + Longitude/Lattitude in upload file
6833,duplicate Tracenet_No + Longitude/Lattitude in upload file
10779,duplicate Tracenet_No + Longitude/Lattitude in upload file
11334,duplicate Tracenet_No + Longitude/Lattitude in upload file
12661,duplicate Tracenet_No + Longitude/Lattitude in upload file
12662,duplicate Tracenet_No + Longitude/Lattitude in upload file
12663,duplicate Tracenet_No + Longitude/Lattitude in upload file
12664,duplicate Tracenet_No + Longitude/Lattitude in upload file
12665,duplicate Tracenet_No + Longitude/Lattitude in upload file
12666,duplicate Tracenet_No + Longitude/Lattitude in upload file
12667,duplicate Tracenet_No + Longitude/Lattitude in upload file
12668,duplicate Tracenet_No + Longitude/Lattitude in upload file
12669,duplicate Tracenet_No + Longitude/Lattitude in upload file
12670,duplicate Tracenet_No + Longitude/Lattitude in upload file
12671,duplicate Tracenet_No + Longitude/Lattitude in upload file
12672,duplicate Tracenet_No + Longitude/Lattitude in upload file
12673,duplicate Tracenet_No + Longitude/Lattitude in upload file
12674,duplicate Tracenet_No + Longitude/Lattitude in upload file
12675,duplicate Tracenet_No + Longitude/Lattitude in upload file
12676,duplicate Tracenet_No + Longitude/Lattitude in upload file
12677,duplicate Tracenet_No + Longitude/Lattitude in upload file
12678,duplicate Tracenet_No + Longitude/Lattitude in upload file
12679,duplicate Tracenet_No + Longitude/Lattitude in upload file
12680,duplicate Tracenet_No + Longitude/Lattitude in upload file
12681,duplicate Tracenet_No + Longitude/Lattitude in upload file
12682,duplicate Tracenet_No + Longitude/Lattitude in upload file
12683,duplicate Tracenet_No + Longitude/Lattitude in upload file
12684,duplicate Tracenet_No + Longitude/Lattitude in upload file
12685,duplicate Tracenet_No + Longitude/Lattitude in upload file
12686,duplicate Tracenet_No + Longitude/Lattitude in upload file
12687,duplicate Tracenet_No + Longitude/Lattitude in upload file
12688,duplicate Tracenet_No + Longitude/Lattitude in upload file
12689,duplicate Tracenet_No + Longitude/Lattitude in upload file
12690,duplicate Tracenet_No + Longitude/Lattitude in upload file
12691,duplicate Tracenet_No + Longitude/Lattitude in upload file
12692,duplicate Tracenet_No + Longitude/Lattitude in upload file
12693,duplicate Tracenet_No + Longitude/Lattitude in upload file
12694,duplicate Tracenet_No + Longitude/Lattitude in upload file
12695,duplicate Tracenet_No + Longitude/Lattitude in upload file
12696,duplicate Tracenet_No + Longitude/Lattitude in upload file
12697,duplicate Tracenet_No + Longitude/Lattitude in upload file
12698,duplicate Tracenet_No + Longitude/Lattitude in upload file
18282,duplicate Tracenet_No + Longitude/Lattitude in upload file
