Row,Reason
6550,duplicate Longitude/Lattitude in upload file
6551,duplicate Longitude/Lattitude in upload file
6552,duplicate Longitude/Lattitude in upload file
6553,duplicate Longitude/Lattitude in upload file
6554,duplicate Longitude/Lattitude in upload file
6555,duplicate Longitude/Lattitude in upload file
6556,duplicate Longitude/Lattitude in upload file
6557,duplicate Longitude/Lattitude in upload file
6593,duplicate Longitude/Lattitude in upload file
6594,duplicate Longitude/Lattitude in upload file
6595,duplicate Longitude/Lattitude in upload file
6596,duplicate Longitude/Lattitude in upload file
6597,duplicate Longitude/Lattitude in upload file
6598,duplicate Longitude/Lattitude in upload file
6599,duplicate Longitude/Lattitude in upload file
6600,duplicate Longitude/Lattitude in upload file
6601,duplicate Longitude/Lattitude in upload file
6602,duplicate Longitude/Lattitude in upload file
6603,duplicate Longitude/Lattitude in upload file
6604,duplicate Longitude/Lattitude in upload file
6605,duplicate Longitude/Lattitude in upload file
6606,duplicate Longitude/Lattitude in upload file
6607,duplicate Longitude/Lattitude in upload file
6608,duplicate Longitude/Lattitude in upload file
6609,duplicate Longitude/Lattitude in upload file
6610,duplicate Longitude/Lattitude in upload file
6611,duplicate Longitude/Lattitude in upload file
6612,duplicate Longitude/Lattitude in upload file
6613,duplicate Longitude/Lattitude in upload file
6614,duplicate Longitude/Lattitude in upload file
6615,duplicate Longitude/Lattitude in upload file
6616,duplicate Longitude/Lattitude in upload file
6617,duplicate Longitude/Lattitude in upload file
6618,duplicate Longitude/Lattitude in upload file
6619,duplicate Longitude/Lattitude in upload file
6620,duplicate Longitude/Lattitude in upload file
6621,duplicate Longitude/Lattitude in upload file
6622,duplicate Longitude/Lattitude in upload file
6623,duplicate Longitude/Lattitude in upload file
6624,duplicate Longitude/Lattitude in upload file
6625,duplicate Longitude/Lattitude in upload file
6626,duplicate Longitude/Lattitude in upload file
6627,duplicate Longitude/Lattitude in upload file
6645,duplicate Longitude/Lattitude in upload file
6646,duplicate Longitude/Lattitude in upload file
6647,duplicate Longitude/Lattitude in upload file
6648,duplicate Longitude/Lattitude in upload file
6649,duplicate Longitude/Lattitude in upload file
6650,duplicate Longitude/Lattitude in upload file
6651,duplicate Longitude/Lattitude in upload file
6652,duplicate Longitude/Lattitude in upload file
6653,duplicate Longitude/Lattitude in upload file
6654,duplicate Longitude/Lattitude in upload file
6655,duplicate Longitude/Lattitude in upload file
6656,duplicate Longitude/Lattitude in upload file
6657,duplicate Longitude/Lattitude in upload file
6658,duplicate Longitude/Lattitude in upload file
6659,duplicate Longitude/Lattitude in upload file
6660,duplicate Longitude/Lattitude in upload file
6661,duplicate Longitude/Lattitude in upload file
6734,duplicate Longitude/Lattitude in upload file
6735,duplicate Longitude/Lattitude in upload file
6736,duplicate Longitude/Lattitude in upload file
6737,duplicate Longitude/Lattitude in upload file
6738,duplicate Longitude/Lattitude in upload file
6739,duplicate Longitude/Lattitude in upload file
6740,duplicate Longitude/Lattitude in upload file
6741,duplicate Longitude/Lattitude in upload file
6742,duplicate Longitude/Lattitude in upload file
6743,duplicate Longitude/Lattitude in upload file
6744,duplicate Longitude/Lattitude in upload file
6745,duplicate Longitude/Lattitude in upload file
6746,duplicate Longitude/Lattitude in upload file
6747,duplicate Longitude/Lattitude in upload file
6748,duplicate Longitude/Lattitude in upload file
6749,duplicate Longitude/Lattitude in upload file
6750,duplicate Longitude/Lattitude in upload file
6751,duplicate Longitude/Lattitude in upload file
6752,duplicate Longitude/Lattitude in upload file
6753,duplicate Longitude/Lattitude in upload file
6754,duplicate Longitude/Lattitude in upload file
6755,duplicate Longitude/Lattitude in upload file
6756,duplicate Longitude/Lattitude in upload file
6757,duplicate Longitude/Lattitude in upload file
6758,duplicate Longitude/Lattitude in upload file
6759,duplicate Longitude/Lattitude in upload file
6760,duplicate Longitude/Lattitude in upload file
6761,duplicate Longitude/Lattitude in upload file
6762,duplicate Longitude/Lattitude in upload file
6763,duplicate Longitude/Lattitude in upload file
6764,duplicate Longitude/Lattitude in upload file
6765,duplicate Longitude/Lattitude in upload file
6766,duplicate Longitude/Lattitude in upload file
6767,duplicate Longitude/Lattitude in upload file
6768,duplicate Longitude/Lattitude in upload file
6769,duplicate Longitude/Lattitude in upload file
6770,duplicate Longitude/Lattitude in upload file
6771,duplicate Longitude/Lattitude in upload file
6772,duplicate Longitude/Lattitude in upload file
6773,duplicate Longitude/Lattitude in upload file
6774,duplicate Longitude/Lattitude in upload file
6775,duplicate Longitude/Lattitude in upload file
6776,duplicate Longitude/Lattitude in upload file
6777,duplicate Longitude/Lattitude in upload file
6778,duplicate Longitude/Lattitude in upload file
6779,duplicate Longitude/Lattitude in upload file
6780,duplicate Longitude/Lattitude in upload file
6781,duplicate Longitude/Lattitude in upload file
6782,duplicate Longitude/Lattitude in upload file
6783,duplicate Longitude/Lattitude in upload file
6784,duplicate Longitude/Lattitude in upload file
6785,duplicate Longitude/Lattitude in upload file
6786,duplicate Longitude/Lattitude in upload file
6787,duplicate Longitude/Lattitude in upload file
6788,duplicate Longitude/Lattitude in upload file
6789,duplicate Longitude/Lattitude in upload file
6790,duplicate Longitude/Lattitude in upload file
6791,duplicate Longitude/Lattitude in upload file
6792,duplicate Longitude/Lattitude in upload file
6793,duplicate Longitude/Lattitude in upload file
